,precision,recall,f1-score,support
negative,0.7650560224089635,0.7283333333333334,0.7462431693989071,6000.0
neutral,0.6618906712350101,0.7083333333333334,0.6843249335802271,6000.0
positive,0.9096642236236577,0.8895,0.8994691160360664,6000.0
accuracy,0.7753888888888889,0.7753888888888889,0.7753888888888889,0.7753888888888889
macro avg,0.7788703057558771,0.7753888888888888,0.7766790730050669,18000.0
weighted avg,0.7788703057558771,0.7753888888888889,0.7766790730050669,18000.0
