metric,lstm,rubert,difference_rubert_minus_lstm
accuracy,0.7446666666666667,0.7807777777777778,0.036111111111111094
precision_macro,0.7483202115910682,0.7828067090088412,0.03448649741777299
recall_macro,0.7446666666666667,0.7807777777777778,0.036111111111111094
f1_macro,0.7462319265742222,0.7816858551221818,0.03545392854795959
precision_weighted,0.7483202115910682,0.7828067090088411,0.03448649741777288
recall_weighted,0.7446666666666667,0.7807777777777778,0.036111111111111094
f1_weighted,0.7462319265742223,0.7816858551221817,0.03545392854795937
