epoch,train_loss,train_acc,val_loss,val_acc
1,0.731219203157919,0.6630151864839363,0.6188032729617248,0.7262854609929078
2,0.5932677251363903,0.7377800196484904,0.5799225872078686,0.7409131205673759
3,0.5314084437139873,0.766405094178453,0.5688970390152424,0.7470079787234043
4,0.48961729572593043,0.78843059268562,0.569911593663777,0.7465647163120568
5,0.44694832268555557,0.81124688099943,0.5760390259695392,0.7433510638297872
6,0.40820520132431953,0.8305618886175102,0.6151417377569997,0.741688829787234
7,0.3675796910363626,0.8503654470535751,0.6403979254318467,0.7415780141843972
8,0.3330958207824195,0.8673729492117754,0.6763317744042856,0.739029255319149
9,0.29013922415889415,0.8867162486028405,0.7257209982432372,0.7351507092198581
10,0.25931796634928295,0.8988927562204093,0.7844617172335902,0.7289450354609929
