model,subset,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
rubert_original,test,0.7815,0.7834919021451956,0.7815,0.7823943080303222,0.7834919021451955,0.7815,0.7823943080303222
rubert_xai_augmented,test,0.7753888888888889,0.7788703057558771,0.7753888888888888,0.7766790730050669,0.7788703057558771,0.7753888888888889,0.7766790730050669
rubert_original,test_negation_subset,0.7618900237284638,0.7812781518666583,0.7604682653738791,0.769880917195832,0.7630497722706107,0.7618900237284638,0.7617810217979314
rubert_xai_augmented,test_negation_subset,0.7538429794697205,0.7718688609401756,0.7587579952900159,0.764631079364216,0.7582217156244674,0.7538429794697205,0.755530419482275
