,precision,recall,f1-score,support
negative,0.7511867736127026,0.7648333333333334,0.7579486332479973,6000.0
neutral,0.6811975653890443,0.6901666666666667,0.6856527858266412,6000.0
positive,0.9160357880247764,0.8873333333333333,0.9014561462919065,6000.0
accuracy,0.7807777777777778,0.7807777777777778,0.7807777777777778,0.7807777777777778
macro avg,0.7828067090088412,0.7807777777777778,0.7816858551221818,18000.0
weighted avg,0.7828067090088411,0.7807777777777778,0.7816858551221817,18000.0
