metric,value
accuracy,0.7446666666666667
precision_macro,0.7483202115910682
recall_macro,0.7446666666666667
f1_macro,0.7462319265742222
precision_weighted,0.7483202115910682
recall_weighted,0.7446666666666667
f1_weighted,0.7462319265742223
