class_or_avg,lstm_f1,rubert_f1,difference_rubert_minus_lstm
negative,0.73131745900964,0.7579486332479973,0.02663117423835737
neutral,0.6390989805984874,0.6856527858266412,0.04655380522815389
positive,0.8682793401145397,0.9014561462919064,0.033176806177366736
macro avg,0.7462319265742222,0.7816858551221818,0.03545392854795959
weighted avg,0.7462319265742223,0.7816858551221817,0.03545392854795937
