,precision,recall,f1-score,support
negative,0.7231546358155451,0.7396666666666667,0.73131745900964,6000.0
neutral,0.6305970149253731,0.6478333333333334,0.6390989805984874,6000.0
positive,0.8912089840322863,0.8465,0.8682793401145397,6000.0
accuracy,0.7446666666666667,0.7446666666666667,0.7446666666666667,0.7446666666666667
macro avg,0.7483202115910682,0.7446666666666667,0.7462319265742222,18000.0
weighted avg,0.7483202115910682,0.7446666666666667,0.7462319265742223,18000.0
