metric,lstm,rubert,tfidf_logreg,tfidf_logreg_balancing_method
accuracy,0.7446666666666667,0.7807777777777778,0.7486666666666667,none
f1_macro,0.7462319265742222,0.7816858551221818,0.7499424283977669,none
f1_weighted,0.7462319265742223,0.7816858551221817,0.749942428397767,none
precision_macro,0.7483202115910682,0.7828067090088412,0.7518884141495118,none
precision_weighted,0.7483202115910682,0.7828067090088411,0.7518884141495118,none
recall_macro,0.7446666666666667,0.7807777777777778,0.7486666666666667,none
recall_weighted,0.7446666666666667,0.7807777777777778,0.7486666666666667,none
