metric,value
accuracy,0.7807777777777778
precision_macro,0.7828067090088412
recall_macro,0.7807777777777778
f1_macro,0.7816858551221818
precision_weighted,0.7828067090088411
recall_weighted,0.7807777777777778
f1_weighted,0.7816858551221817
