,precision,recall,f1-score,support
negative,0.7518427518427518,0.765,0.758364312267658,6000.0
neutral,0.6820723684210527,0.6911666666666667,0.68658940397351,6000.0
positive,0.9165950128976784,0.8883333333333333,0.9022429115531104,6000.0
accuracy,0.7815,0.7815,0.7815,0.7815
macro avg,0.7835033777204944,0.7815,0.7823988759314262,18000.0
weighted avg,0.7835033777204943,0.7815,0.7823988759314261,18000.0
