model,split,subset,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
rubert_original,val,all,0.7802222222222223,0.7809376540583952,0.7802222222222222,0.7805644002005979,0.7809376540583952,0.7802222222222223,0.7805644002005978
rubert_rule_corrected,val,all,0.7802222222222223,0.7809376540583952,0.7802222222222222,0.7805644002005979,0.7809376540583952,0.7802222222222223,0.7805644002005978
rubert_original,val,rule_matched,0.7525581395348837,0.7455614104962697,0.731335516642809,0.7378972189044131,0.7537276461521455,0.7525581395348837,0.7527615314733936
rubert_rule_corrected,val,rule_matched,0.7525581395348837,0.7455614104962697,0.731335516642809,0.7378972189044131,0.7537276461521455,0.7525581395348837,0.7527615314733936
rubert_original,test,all,0.7815,0.7834919021451956,0.7815,0.7823943080303222,0.7834919021451955,0.7815,0.7823943080303222
rubert_rule_corrected,test,all,0.7815,0.7835033777204944,0.7815,0.7823988759314262,0.7835033777204943,0.7815,0.7823988759314261
rubert_original,test,rule_matched,0.7447847314691523,0.7406538381957377,0.7152126569285887,0.7265740615663452,0.7447847204486024,0.7447847314691523,0.7442446178038796
rubert_rule_corrected,test,rule_matched,0.7447847314691523,0.7414604048596342,0.7152126569285887,0.726896949844455,0.7448170423305525,0.7447847314691523,0.744232273597612
